Temporada,Id_equipo,Equipo,Valor ($M),Ingresos ($M),Ganancias ($M),Mercado
2023,1610612738,Boston Celtics,"6,000,000,000","121,000,000","457,000,000",Grande
2023,1610612760,Oklahoma City Thunder,"3,650,000,000","90,000,000","320,000,000",Peque単o
2023,1610612743,Denver Nuggets,"3,900,000,000","57,000,000","356,000,000",Mediano
2023,1610612750,Minnesota Timberwolves,"3,100,000,000","71,000,000","305,000,000",Peque単o
2023,1610612752,New York Knicks,"7,500,000,000","182,000,000","543,000,000",Grande
2021,1610612738,Boston Celtics,"4,700,000,000","326,500,000","361,000,000",Grande
2021,1610612760,Oklahoma City Thunder,"1,875,000,000","129,000,000","274,000,000",Peque単o
2021,1610612743,Denver Nuggets,"3,380,000,000","67,000,000","273,000,000",Mediano
2021,1610612750,Minnesota Timberwolves,"1,670,000,000","87,000,000","271,000,000",Peque単o
2021,1610612752,New York Knicks,"6,600,000,000","92,000,000","278,000,000",Grande